dataset_id,antibiotic,n_correct,n_error,median_correct,median_error,mann_whitney_p,cliffs_delta_error_minus_correct
CHINA_NINGXIA_2022,levofloxacin,34,23,0.1354334585145521,0.13375309997133042,0.9675635256731615,0.007672634271099765
CHINA_NINGXIA_2022,clarithromycin,6,0,0.1344841037178412,,,
ZENODO_10369064,clarithromycin,41,3,0.11652570275686798,0.1385035582280797,0.5646330413772274,0.2195121951219512
ZENODO_10369064,levofloxacin,36,3,0.11769556925242469,0.10583354487193156,0.27114563956669224,-0.40740740740740744
