dataset_id,antibiotic,phenotype_linked_binary_n,qc_pass_n,target_callable_n,primary_evaluable_n,correct_n,incorrect_n,unresolved_n,resistant_total_n,susceptible_total_n,tp,tn,fp,fn,evaluable_fraction,actionable_correct_yield,resistant_detection_yield,susceptible_correct_yield
HPGP_GLOBAL,clarithromycin,414,414,414,414,414,0,0,108,306,108,306,0,0,1.0,1.0,1.0,1.0
HPGP_GLOBAL,levofloxacin,414,414,414,414,412,2,0,133,281,131,281,0,2,1.0,0.9951690821256038,0.9849624060150376,1.0
CHINA_NINGXIA_2022,clarithromycin,60,57,6,6,6,0,54,31,29,2,4,0,0,0.1,0.1,0.06451612903225806,0.13793103448275862
CHINA_NINGXIA_2022,levofloxacin,60,57,57,57,34,23,3,29,31,12,22,7,16,0.95,0.5666666666666667,0.41379310344827586,0.7096774193548387
ZENODO_10369064,clarithromycin,50,44,44,44,41,3,6,23,27,18,23,1,2,0.88,0.82,0.782608695652174,0.8518518518518519
ZENODO_10369064,levofloxacin,48,43,39,39,36,3,9,20,28,14,22,1,2,0.8125,0.75,0.7,0.7857142857142857
