dropped_isolate,n,tp,tn,fp,fn,sensitivity,specificity,false_susceptible_rate,false_resistant_rate,balanced_accuracy
NONE_BASELINE,57,12,22,7,16,0.42857142857142855,0.7586206896551724,0.5714285714285714,0.2413793103448276,0.5935960591133005
SHZY01,56,12,21,7,16,0.42857142857142855,0.75,0.5714285714285714,0.25,0.5892857142857143
SHZY02,56,12,22,7,15,0.4444444444444444,0.7586206896551724,0.5555555555555556,0.2413793103448276,0.6015325670498084
SHZY03,56,12,21,7,16,0.42857142857142855,0.75,0.5714285714285714,0.25,0.5892857142857143
SHZY04,56,12,22,7,15,0.4444444444444444,0.7586206896551724,0.5555555555555556,0.2413793103448276,0.6015325670498084
SHZY05,56,12,22,7,15,0.4444444444444444,0.7586206896551724,0.5555555555555556,0.2413793103448276,0.6015325670498084
SHZY06,56,12,22,6,16,0.42857142857142855,0.7857142857142857,0.5714285714285714,0.21428571428571427,0.6071428571428571
SHZY07,56,12,22,7,15,0.4444444444444444,0.7586206896551724,0.5555555555555556,0.2413793103448276,0.6015325670498084
SHZY08,56,12,22,7,15,0.4444444444444444,0.7586206896551724,0.5555555555555556,0.2413793103448276,0.6015325670498084
SHZY09,56,12,21,7,16,0.42857142857142855,0.75,0.5714285714285714,0.25,0.5892857142857143
SHZY10,56,12,21,7,16,0.42857142857142855,0.75,0.5714285714285714,0.25,0.5892857142857143
SHZY11,56,12,21,7,16,0.42857142857142855,0.75,0.5714285714285714,0.25,0.5892857142857143
SHZY12,56,12,22,7,15,0.4444444444444444,0.7586206896551724,0.5555555555555556,0.2413793103448276,0.6015325670498084
SHZY13,56,11,22,7,16,0.4074074074074074,0.7586206896551724,0.5925925925925926,0.2413793103448276,0.5830140485312899
SHZY14,56,12,21,7,16,0.42857142857142855,0.75,0.5714285714285714,0.25,0.5892857142857143
SHZY15,56,11,22,7,16,0.4074074074074074,0.7586206896551724,0.5925925925925926,0.2413793103448276,0.5830140485312899
SHZY16,56,12,21,7,16,0.42857142857142855,0.75,0.5714285714285714,0.25,0.5892857142857143
SHZY17,56,12,22,6,16,0.42857142857142855,0.7857142857142857,0.5714285714285714,0.21428571428571427,0.6071428571428571
SHZY18,56,12,22,7,15,0.4444444444444444,0.7586206896551724,0.5555555555555556,0.2413793103448276,0.6015325670498084
SHZY19,56,12,22,7,15,0.4444444444444444,0.7586206896551724,0.5555555555555556,0.2413793103448276,0.6015325670498084
SHZY20,56,12,22,6,16,0.42857142857142855,0.7857142857142857,0.5714285714285714,0.21428571428571427,0.6071428571428571
SHZY21,56,12,21,7,16,0.42857142857142855,0.75,0.5714285714285714,0.25,0.5892857142857143
