dataset_id,n,median_5nn_distance,q1_5nn_distance,q3_5nn_distance,median_development_percentile,mann_whitney_vs_hpgp_p,cliffs_delta_vs_hpgp,lineage_jensen_shannon_distance_vs_hpgp
HPGP_GLOBAL,414,0.4061809905215925,0.2723063865263706,0.6951854641010577,0.501207729468599,,,0.0
CHINA_NINGXIA_2022,57,0.135215107464352,0.11489099204591505,0.16797483728066778,0.057971014492753624,8.818310857877006e-19,-0.7226036104754641,0.7204374916222099
ZENODO_10369064,46,0.1164869227878484,0.1054567924035571,0.1336904071124672,0.021739130434782608,1.062552563739396e-19,-0.8159000210039907,0.7726841616115719
