negative_control,antibiotic,model,split_type,fold,n_train,n_test,n,n_resistant,n_susceptible,tp,tn,fp,fn,prevalence,sensitivity,specificity,false_susceptible_rate,false_resistant_rate,balanced_accuracy,mcc,ppv,npv,auroc_binary_score,auprc_binary_score,brier_binary_score,auroc_probability,auprc_probability,brier_probability,calibration_intercept,calibration_slope
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,CHINA_NINGXIA_2022__079,414,57,57,28,29,0,29,0,28,0.49122807017543857,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5087719298245614,0.5,0.49122807017543857,0.49122807017543857,0.6256157635467979,0.5751436672489304,0.2764603777681859,-0.9454115561872095,-1.2837094440710581
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__079,414,39,39,16,23,0,23,0,16,0.41025641025641024,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5897435897435898,0.5,0.41025641025641024,0.41025641025641024,0.4796195652173913,0.4093164817429523,0.25480351844667054,-3.3954078505280694,-4.0742071705841045
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,80,331,83,83,27,56,0,56,0,27,0.3253012048192771,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.6746987951807228,0.5,0.3253012048192771,0.3253012048192771,0.4646164021164021,0.3162620747107548,0.22482508897206072,-1.9306980094843162,-1.6036259179007757
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,CHINA_NINGXIA_2022__080,414,57,57,28,29,0,29,0,28,0.49122807017543857,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5087719298245614,0.5,0.49122807017543857,0.49122807017543857,0.5517241379310345,0.5185185185185185,0.27530384128449353,15.48067038608058,21.224492646529296
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__080,414,39,39,16,23,0,23,0,16,0.41025641025641024,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5897435897435898,0.5,0.41025641025641024,0.41025641025641024,0.4782608695652174,0.42105263157894735,0.24941840108272367,-0.550076936814785,-0.2578829067296294
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,81,331,83,83,27,56,0,56,0,27,0.3253012048192771,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.6746987951807228,0.5,0.3253012048192771,0.3253012048192771,0.4044312169312168,0.29000867810240216,0.224217555706108,-2.5811785299480583,-2.4461374147242876
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,CHINA_NINGXIA_2022__081,414,57,57,28,29,0,29,0,28,0.49122807017543857,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5087719298245614,0.5,0.49122807017543857,0.49122807017543857,0.354679802955665,0.4319436985320444,0.27933974186000726,-75.56072922462837,-104.05529474527447
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__081,414,39,39,16,23,0,23,0,16,0.41025641025641024,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5897435897435898,0.5,0.41025641025641024,0.41025641025641024,0.5149456521739131,0.4185325254404202,0.24892424778784872,2.892387113289821,4.453329669909595
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,82,331,83,83,27,56,0,56,0,27,0.3253012048192771,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.6746987951807228,0.5,0.3253012048192771,0.3253012048192771,0.5059523809523809,0.33573989457774467,0.2214751595095018,-0.7995703800161251,-0.09015078238829032
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,CHINA_NINGXIA_2022__082,414,57,57,28,29,0,29,0,28,0.49122807017543857,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5087719298245614,0.5,0.49122807017543857,0.49122807017543857,0.4273399014778325,0.46285768603437777,0.2860335944051665,-2.325467220232304,-3.1338888698849368
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__082,414,39,39,16,23,0,23,0,16,0.41025641025641024,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5897435897435898,0.5,0.41025641025641024,0.41025641025641024,0.4578804347826087,0.3905898560503824,0.251338870612555,-8.42153903587993,-11.590028450404743
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,83,331,83,83,27,56,0,56,0,27,0.3253012048192771,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.6746987951807228,0.5,0.3253012048192771,0.3253012048192771,0.4947089947089946,0.32351556233698564,0.22238726791664737,-1.0630624488183837,-0.43611421591587246
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,CHINA_NINGXIA_2022__083,414,57,57,28,29,0,29,0,28,0.49122807017543857,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5087719298245614,0.5,0.49122807017543857,0.49122807017543857,0.5123152709359606,0.5020119246529021,0.2780609128481792,-1.0826874022134017,-1.490594031084146
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__083,414,39,39,16,23,0,23,0,16,0.41025641025641024,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5897435897435898,0.5,0.41025641025641024,0.41025641025641024,0.5815217391304348,0.5178698435277382,0.2420134269441454,20.78527762344968,30.25603764026732
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,84,331,83,83,27,56,1,50,6,26,0.3253012048192771,0.037037037037037035,0.8928571428571429,0.9629629629629629,0.10714285714285714,0.46494708994709,-0.11818820955673758,0.14285714285714285,0.6578947368421053,0.46494708994709,0.31854401733919807,0.3855421686746988,0.4880952380952381,0.3192819876143266,0.23621824911937733,-0.9217104058044178,-0.2656451290921558
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,CHINA_NINGXIA_2022__084,414,57,57,28,29,0,29,0,28,0.49122807017543857,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5087719298245614,0.5,0.49122807017543857,0.49122807017543857,0.4741379310344827,0.47840608465608464,0.27825612640745806,-0.519282686896632,-0.683379674786249
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__084,414,39,39,16,23,0,23,0,16,0.41025641025641024,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5897435897435898,0.5,0.41025641025641024,0.41025641025641024,0.4959239130434782,0.407802483974359,0.24812159446717388,-0.06867993341767245,0.4190811288556736
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,85,331,83,83,27,56,0,56,0,27,0.3253012048192771,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.6746987951807228,0.5,0.3253012048192771,0.3253012048192771,0.5049603174603174,0.33439702749607264,0.2197108077493632,-0.3064979305554124,0.5410610607683011
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,CHINA_NINGXIA_2022__085,414,57,57,28,29,0,29,0,28,0.49122807017543857,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5087719298245614,0.5,0.49122807017543857,0.49122807017543857,0.4987684729064039,0.5006961849067112,0.2853836684345282,-1.3024464334193204,-1.534258716822358
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__085,414,39,39,16,23,0,23,0,16,0.41025641025641024,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5897435897435898,0.5,0.41025641025641024,0.41025641025641024,0.4782608695652174,0.41025641025641024,0.2555567197088663,-11.944197685606117,-14.272124530809627
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,86,331,83,83,27,56,0,55,1,27,0.3253012048192771,0.0,0.9821428571428571,1.0,0.017857142857142856,0.49107142857142855,-0.07667979486648716,0.0,0.6707317073170732,0.49107142857142855,0.3253012048192771,0.3373493975903614,0.4818121693121693,0.31210742906649336,0.22317702404889028,-1.294201045764685,-0.7491098550996683
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,CHINA_NINGXIA_2022__086,414,57,57,28,29,0,29,0,28,0.49122807017543857,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5087719298245614,0.5,0.49122807017543857,0.49122807017543857,0.5307881773399016,0.5344385720795495,0.28196824722298713,-0.3930967535830682,-0.4621710961026884
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__086,414,39,39,16,23,0,23,0,16,0.41025641025641024,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5897435897435898,0.5,0.41025641025641024,0.41025641025641024,0.5366847826086957,0.4290064102564103,0.2508952709870518,7.131008847931297,9.591088511277327
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,87,331,83,83,27,56,1,55,1,26,0.3253012048192771,0.037037037037037035,0.9821428571428571,0.9629629629629629,0.017857142857142856,0.5095899470899471,0.05859554460040536,0.5,0.6790123456790124,0.5095899470899471,0.33177153056671127,0.3253012048192771,0.5879629629629629,0.37466846304665824,0.21655024316299162,-0.13258367772997823,0.8555152167406006
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,levofloxacin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,CHINA_NINGXIA_2022__087,414,57,57,28,29,0,29,0,28,0.49122807017543857,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5087719298245614,0.5,0.49122807017543857,0.49122807017543857,0.4495073891625615,0.4765485141424991,0.2944792231388161,-1.9346267499791072,-2.167279693702745
