dataset_id,antibiotic,development_percentile_cutoff,threshold_source,original_primary_n,accepted_n,rejected_n,retained_coverage,n,n_resistant,n_susceptible,tp,tn,fp,fn,sensitivity,specificity,false_susceptible_rate,balanced_accuracy,passes_frozen_safety_gate
CHINA_NINGXIA_2022,levofloxacin,0.2,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,57,50,7,0.8771929824561403,50,22,28,11,21,7,11,0.5,0.75,0.5,0.625,no
CHINA_NINGXIA_2022,levofloxacin,0.5,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,57,50,7,0.8771929824561403,50,22,28,11,21,7,11,0.5,0.75,0.5,0.625,no
CHINA_NINGXIA_2022,levofloxacin,0.75,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,57,53,4,0.9298245614035088,53,24,29,11,22,7,13,0.4583333333333333,0.7586206896551724,0.5416666666666667,0.6084770114942528,no
CHINA_NINGXIA_2022,levofloxacin,0.9,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,57,56,1,0.9824561403508771,56,27,29,12,22,7,15,0.4444444444444444,0.7586206896551724,0.5555555555555556,0.6015325670498084,no
CHINA_NINGXIA_2022,levofloxacin,0.95,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,57,57,0,1.0,57,28,29,12,22,7,16,0.42857142857142855,0.7586206896551724,0.5714285714285714,0.5935960591133005,no
CHINA_NINGXIA_2022,levofloxacin,0.99,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,57,57,0,1.0,57,28,29,12,22,7,16,0.42857142857142855,0.7586206896551724,0.5714285714285714,0.5935960591133005,no
CHINA_NINGXIA_2022,levofloxacin,1.0,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,57,57,0,1.0,57,28,29,12,22,7,16,0.42857142857142855,0.7586206896551724,0.5714285714285714,0.5935960591133005,no
ZENODO_10369064,clarithromycin,0.05,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,44,31,13,0.7045454545454546,31,14,17,13,17,0,1,0.9285714285714286,1.0,0.0714285714285714,0.9642857142857143,yes
ZENODO_10369064,clarithromycin,0.1,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,44,37,7,0.8409090909090909,37,16,21,14,20,1,2,0.875,0.9523809523809523,0.125,0.9136904761904762,no
ZENODO_10369064,clarithromycin,0.2,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,44,40,4,0.9090909090909091,40,18,22,16,21,1,2,0.8888888888888888,0.9545454545454546,0.11111111111111116,0.9217171717171717,no
ZENODO_10369064,clarithromycin,0.5,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,44,41,3,0.9318181818181818,41,19,22,17,21,1,2,0.8947368421052632,0.9545454545454546,0.10526315789473684,0.9246411483253589,no
ZENODO_10369064,clarithromycin,0.75,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,44,42,2,0.9545454545454546,42,19,23,17,22,1,2,0.8947368421052632,0.9565217391304348,0.10526315789473684,0.9256292906178489,no
ZENODO_10369064,clarithromycin,0.9,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,44,44,0,1.0,44,20,24,18,23,1,2,0.9,0.9583333333333334,0.09999999999999998,0.9291666666666667,yes
ZENODO_10369064,clarithromycin,0.95,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,44,44,0,1.0,44,20,24,18,23,1,2,0.9,0.9583333333333334,0.09999999999999998,0.9291666666666667,yes
ZENODO_10369064,clarithromycin,0.99,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,44,44,0,1.0,44,20,24,18,23,1,2,0.9,0.9583333333333334,0.09999999999999998,0.9291666666666667,yes
ZENODO_10369064,clarithromycin,1.0,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,44,44,0,1.0,44,20,24,18,23,1,2,0.9,0.9583333333333334,0.09999999999999998,0.9291666666666667,yes
ZENODO_10369064,levofloxacin,0.05,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,39,29,10,0.7435897435897436,29,12,17,10,16,1,2,0.8333333333333334,0.9411764705882353,0.16666666666666663,0.8872549019607843,no
ZENODO_10369064,levofloxacin,0.1,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,39,34,5,0.8717948717948718,34,13,21,11,20,1,2,0.8461538461538461,0.9523809523809523,0.15384615384615385,0.8992673992673992,no
ZENODO_10369064,levofloxacin,0.2,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,39,36,3,0.9230769230769231,36,14,22,12,21,1,2,0.8571428571428571,0.9545454545454546,0.1428571428571429,0.9058441558441559,no
ZENODO_10369064,levofloxacin,0.5,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,39,37,2,0.9487179487179487,37,15,22,13,21,1,2,0.8666666666666667,0.9545454545454546,0.1333333333333333,0.9106060606060606,no
ZENODO_10369064,levofloxacin,0.75,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,39,37,2,0.9487179487179487,37,15,22,13,21,1,2,0.8666666666666667,0.9545454545454546,0.1333333333333333,0.9106060606060606,no
ZENODO_10369064,levofloxacin,0.9,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,39,39,0,1.0,39,16,23,14,22,1,2,0.875,0.9565217391304348,0.125,0.9157608695652174,no
ZENODO_10369064,levofloxacin,0.95,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,39,39,0,1.0,39,16,23,14,22,1,2,0.875,0.9565217391304348,0.125,0.9157608695652174,no
ZENODO_10369064,levofloxacin,0.99,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,39,39,0,1.0,39,16,23,14,22,1,2,0.875,0.9565217391304348,0.125,0.9157608695652174,no
ZENODO_10369064,levofloxacin,1.0,HpGP empirical distribution of phenotype-blind 5-nearest-neighbour distance,39,39,0,1.0,39,16,23,14,22,1,2,0.875,0.9565217391304348,0.125,0.9157608695652174,no
