dataset_id,isolate_id,antibiotic,prediction,sequence_support,marker_summary,callable,basic_qc_status,phenotype,phenotype_quality,phenotype_recomputed,mic_raw,mic_numeric,mic_operator,borderline_mic,ast_method,medium,breakpoint_standard,breakpoint_version,near_clone_group,lineage_recomputed,country,bootstrap_unit,analysis_status,correct,development_5nn_distance,development_5nn_percentile,outcome,error
CHINA_NINGXIA_2022,SHZY01,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,S,A_mic_public_exact_link,S,0.125,0.125,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0001,SNP_CLUSTER_03,China,NCG0001,PRIMARY,yes,0.114890992045915,0.01932367149758454,TN,False
CHINA_NINGXIA_2022,SHZY02,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,R,A_mic_public_exact_link,R,4,4,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0002,SNP_CLUSTER_03,China,NCG0002,PRIMARY,no,0.160347438495157,0.10144927536231885,FN,True
CHINA_NINGXIA_2022,SHZY03,clarithromycin,S,ASSEMBLY_ONLY,,yes,PASS,S,A_mic_public_exact_link,I,0.5,0.5,=,yes,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0003,SNP_CLUSTER_03,China,NCG0003,PRIMARY,yes,0.1674661731705328,0.10628019323671498,TN,False
CHINA_NINGXIA_2022,SHZY03,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,S,A_mic_public_exact_link,S,0.25,0.25,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0003,SNP_CLUSTER_03,China,NCG0003,PRIMARY,yes,0.1674661731705328,0.10628019323671498,TN,False
CHINA_NINGXIA_2022,SHZY04,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,R,A_mic_public_exact_link,R,8,8,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0004,SNP_CLUSTER_03,China,NCG0004,PRIMARY,no,0.1059494161790383,0.007246376811594203,FN,True
CHINA_NINGXIA_2022,SHZY05,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,R,A_mic_public_exact_link,R,16,16,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0005,SNP_CLUSTER_03,China,NCG0005,PRIMARY,no,0.1440452993267056,0.0748792270531401,FN,True
CHINA_NINGXIA_2022,SHZY06,levofloxacin,R,ASSEMBLY_ONLY,N87K,yes,PASS,S,A_mic_public_exact_link,S,0.5,0.5,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0006,SNP_CLUSTER_03,China,NCG0006,PRIMARY,no,0.1064854218759138,0.007246376811594203,FP,True
CHINA_NINGXIA_2022,SHZY07,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,R,A_mic_public_exact_link,R,16,16,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0007,SNP_CLUSTER_03,China,NCG0007,PRIMARY,no,0.1276394095810669,0.03864734299516908,FN,True
CHINA_NINGXIA_2022,SHZY08,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,R,A_mic_public_exact_link,R,>32,32,>,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0008,SNP_CLUSTER_01,China,NCG0008,PRIMARY,no,1.0467213711290706,0.9009661835748792,FN,True
CHINA_NINGXIA_2022,SHZY09,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,S,A_mic_public_exact_link,S,0.25,0.25,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0009,SNP_CLUSTER_03,China,NCG0009,PRIMARY,yes,0.0867990022194015,0.0,TN,False
CHINA_NINGXIA_2022,SHZY10,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,S,A_mic_public_exact_link,S,0.125,0.125,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0010,SNP_CLUSTER_03,China,NCG0010,PRIMARY,yes,0.4425401024046921,0.5628019323671497,TN,False
CHINA_NINGXIA_2022,SHZY11,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,S,A_mic_public_exact_link,S,0.008,0.008,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0011,SNP_CLUSTER_03,China,NCG0011,PRIMARY,yes,0.1679748372806677,0.10628019323671498,TN,False
CHINA_NINGXIA_2022,SHZY12,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,R,A_mic_public_exact_link,R,2,2,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0012,SNP_CLUSTER_03,China,NCG0012,PRIMARY,no,0.1123562250723012,0.014492753623188406,FN,True
CHINA_NINGXIA_2022,SHZY13,levofloxacin,R,ASSEMBLY_ONLY,N87K,yes,PASS,R,A_mic_public_exact_link,R,>32,32,>,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0013,SNP_CLUSTER_03,China,NCG0013,PRIMARY,yes,0.1431900766448181,0.0748792270531401,TP,False
CHINA_NINGXIA_2022,SHZY14,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,S,A_mic_public_exact_link,S,0.008,0.008,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0014,SNP_CLUSTER_03,China,NCG0014,PRIMARY,yes,0.1167032975788602,0.021739130434782608,TN,False
CHINA_NINGXIA_2022,SHZY15,levofloxacin,R,ASSEMBLY_ONLY,A88V;N87I,yes,PASS,R,A_mic_public_exact_link,R,>32,32,>,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0015,SNP_CLUSTER_03,China,NCG0015,PRIMARY,yes,0.1305161445748019,0.04830917874396135,TP,False
CHINA_NINGXIA_2022,SHZY16,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,S,A_mic_public_exact_link,S,0.008,0.008,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0016,SNP_CLUSTER_03,China,NCG0016,PRIMARY,yes,0.196531902982668,0.12077294685990338,TN,False
CHINA_NINGXIA_2022,SHZY17,clarithromycin,R,ASSEMBLY_ONLY,A2143G,yes,PASS,R,A_mic_public_exact_link,R,8,8,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0017,SNP_CLUSTER_03,China,NCG0017,PRIMARY,yes,0.1337530999713304,0.05555555555555555,TP,False
CHINA_NINGXIA_2022,SHZY17,levofloxacin,R,ASSEMBLY_ONLY,N87K,yes,PASS,S,A_mic_public_exact_link,S,0.5,0.5,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0017,SNP_CLUSTER_03,China,NCG0017,PRIMARY,no,0.1337530999713304,0.05555555555555555,FP,True
CHINA_NINGXIA_2022,SHZY18,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,R,A_mic_public_exact_link,R,8,8,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0018,SNP_CLUSTER_03,China,NCG0018,PRIMARY,no,0.1675566974878957,0.10628019323671498,FN,True
CHINA_NINGXIA_2022,SHZY19,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,R,A_mic_public_exact_link,R,>32,32,>,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0019,SNP_CLUSTER_01,China,NCG0019,PRIMARY,no,0.8036620898350681,0.8236714975845411,FN,True
CHINA_NINGXIA_2022,SHZY20,levofloxacin,R,ASSEMBLY_ONLY,N87K,yes,PASS,S,A_mic_public_exact_link,S,0.064,0.064,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0020,SNP_CLUSTER_03,China,NCG0020,PRIMARY,no,0.1661250932510529,0.10386473429951691,FP,True
CHINA_NINGXIA_2022,SHZY21,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,S,A_mic_public_exact_link,S,0.5,0.5,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0021,SNP_CLUSTER_03,China,NCG0021,PRIMARY,yes,0.2090024386116216,0.13043478260869565,TN,False
CHINA_NINGXIA_2022,SHZY22,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,S,A_mic_public_exact_link,S,1,1,=,yes,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0022,SNP_CLUSTER_03,China,NCG0022,PRIMARY,yes,0.1883973882871701,0.11835748792270531,TN,False
CHINA_NINGXIA_2022,SHZY23,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,R,A_mic_public_exact_link,R,>32,32,>,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0023,SNP_CLUSTER_03,China,NCG0023,PRIMARY,no,0.1318043458143999,0.050724637681159424,FN,True
CHINA_NINGXIA_2022,SHZY24,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,S,A_mic_public_exact_link,S,0.25,0.25,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0024,SNP_CLUSTER_03,China,NCG0024,PRIMARY,yes,0.1895717191481157,0.12077294685990338,TN,False
CHINA_NINGXIA_2022,SHZY26,levofloxacin,R,ASSEMBLY_ONLY,D91G,yes,PASS,R,A_mic_public_exact_link,R,>32,32,>,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0025,SNP_CLUSTER_03,China,NCG0025,PRIMARY,yes,0.1362406210609963,0.057971014492753624,TP,False
CHINA_NINGXIA_2022,SHZY27,clarithromycin,S,ASSEMBLY_ONLY,,yes,PASS,S,A_mic_public_exact_link,S,0.064,0.064,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0026,SNP_CLUSTER_03,China,NCG0026,PRIMARY,yes,0.135215107464352,0.057971014492753624,TN,False
CHINA_NINGXIA_2022,SHZY27,levofloxacin,R,ASSEMBLY_ONLY,D91N,yes,PASS,R,A_mic_public_exact_link,R,4,4,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0026,SNP_CLUSTER_03,China,NCG0026,PRIMARY,yes,0.135215107464352,0.057971014492753624,TP,False
CHINA_NINGXIA_2022,SHZY28,levofloxacin,R,ASSEMBLY_ONLY,N87K,yes,PASS,S,A_mic_public_exact_link,S,0.25,0.25,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0027,SNP_CLUSTER_03,China,NCG0027,PRIMARY,no,0.1076779011090326,0.007246376811594203,FP,True
CHINA_NINGXIA_2022,SHZY29,levofloxacin,R,ASSEMBLY_ONLY,D91Y,yes,PASS,R,A_mic_public_exact_link,R,16,16,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0028,SNP_CLUSTER_03,China,NCG0028,PRIMARY,yes,0.1606188154580852,0.10144927536231885,TP,False
CHINA_NINGXIA_2022,SHZY30,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,S,A_mic_public_exact_link,S,0.5,0.5,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0029,SNP_CLUSTER_03,China,NCG0029,PRIMARY,yes,0.103977543916488,0.004830917874396135,TN,False
CHINA_NINGXIA_2022,SHZY31,levofloxacin,R,ASSEMBLY_ONLY,D91N,yes,PASS,S,A_mic_public_exact_link,S,0.032,0.032,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0030,SNP_CLUSTER_03,China,NCG0030,PRIMARY,no,0.1481687440154358,0.0821256038647343,FP,True
CHINA_NINGXIA_2022,SHZY32,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,S,A_mic_public_exact_link,S,0.25,0.25,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0031,SNP_CLUSTER_03,China,NCG0031,PRIMARY,yes,0.138742764003633,0.06521739130434782,TN,False
