comparison,external_dataset,n_hpGP,n_external,features,cv,pooled_oof_auc,group_bootstrap_ci_low,group_bootstrap_ci_high,mean_fold_auc,min_fold_auc,max_fold_auc,permutations,permutation_p
HPGP_GLOBAL_vs_CHINA_NINGXIA_2022,CHINA_NINGXIA_2022,414,57,PC1-PC10,5-fold stratified near-clone-grouped,0.8988897364183406,0.8707728693419657,0.924104247356712,0.8993477234881878,0.8685651697699891,0.91869918699187,1000,0.0009990009990009
HPGP_GLOBAL_vs_ZENODO_10369064,ZENODO_10369064,414,46,PC1-PC10,5-fold stratified near-clone-grouped,0.9179794160890568,0.8932878625381618,0.9410618042028815,0.9170872106311424,0.9116465863453816,0.927710843373494,1000,0.0009990009990009
