dataset_id,antibiotic,n,phenotypic_resistance_prevalence,marker_resistance_prevalence,prevalence_gap_marker_minus_phenotype
CHINA_NINGXIA_2022,levofloxacin,57,0.4912280701754385,0.3333333333333333,-0.1578947368421052
CHINA_NINGXIA_2022,clarithromycin,6,0.3333333333333333,0.3333333333333333,0.0
HPGP_GLOBAL,clarithromycin,414,0.2608695652173913,0.2608695652173913,0.0
HPGP_GLOBAL,levofloxacin,414,0.321256038647343,0.3164251207729469,-0.0048309178743961
ZENODO_10369064,clarithromycin,44,0.4545454545454545,0.4318181818181818,-0.0227272727272727
ZENODO_10369064,levofloxacin,39,0.4102564102564102,0.3846153846153846,-0.0256410256410256
