scenario,stratum_type,stratum,dataset_id,antibiotic,n,n_resistant,n_susceptible,tp,tn,fp,fn,prevalence,sensitivity,specificity,false_susceptible_rate,false_resistant_rate,balanced_accuracy,mcc,ppv,npv,auroc_binary_score,auprc_binary_score,brier_binary_score,sensitivity_ci_low,sensitivity_ci_high,specificity_ci_low,specificity_ci_high,false_susceptible_rate_ci_low,false_susceptible_rate_ci_high,false_resistant_rate_ci_low,false_resistant_rate_ci_high,ppv_ci_low,ppv_ci_high,npv_ci_low,npv_ci_high,balanced_accuracy_bootstrap_low,balanced_accuracy_bootstrap_high,mcc_bootstrap_low,mcc_bootstrap_high,auroc_binary_score_bootstrap_low,auroc_binary_score_bootstrap_high,auprc_binary_score_bootstrap_low,auprc_binary_score_bootstrap_high,brier_binary_score_bootstrap_low,brier_binary_score_bootstrap_high
LEXICOGRAPHIC_FIRST_PER_NEAR_CLONE_COMPONENT,COHORT,CHINA_NINGXIA_2022,CHINA_NINGXIA_2022,clarithromycin,6,2,4,2,4,0,0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15811388300841897,1.0,0.3976353643835253,1.0,0.0,0.841886116991581,0.0,0.6023646356164746,0.15811388300841897,1.0,0.3976353643835253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
LEXICOGRAPHIC_FIRST_PER_NEAR_CLONE_COMPONENT,COHORT,CHINA_NINGXIA_2022,CHINA_NINGXIA_2022,levofloxacin,57,28,29,12,22,7,16,0.49122807017543857,0.42857142857142855,0.7586206896551724,0.5714285714285714,0.2413793103448276,0.5935960591133005,0.19851666679418606,0.631578947368421,0.5789473684210527,0.5935960591133005,0.5513784461152882,0.40350877192982454,0.24462393630214663,0.628206371387904,0.5645996540114667,0.8970164492273827,0.3717936286120959,0.7553760636978534,0.10298355077261735,0.43540034598853333,0.38357792331440527,0.8371141278449004,0.40821445411990515,0.7369017627485158,0.46777462121212127,0.7100056818181818,-0.06983498736668739,0.4413425704329451,0.46777462121212127,0.7100056818181818,0.39905108944383644,0.7090562343358395,0.2807017543859649,0.543859649122807
LEXICOGRAPHIC_FIRST_PER_NEAR_CLONE_COMPONENT,COHORT,HPGP_GLOBAL,HPGP_GLOBAL,clarithromycin,410,107,303,107,303,0,0,0.26097560975609757,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9661120005259886,1.0,0.9878992899779208,1.0,0.0,0.033887999474011485,0.0,0.012100710022079256,0.9661120005259886,1.0,0.9878992899779208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
LEXICOGRAPHIC_FIRST_PER_NEAR_CLONE_COMPONENT,COHORT,HPGP_GLOBAL,HPGP_GLOBAL,levofloxacin,410,131,279,129,279,0,2,0.3195121951219512,0.9847328244274809,1.0,0.015267175572519083,0.0,0.9923664122137404,0.9887992970650796,1.0,0.9928825622775801,0.9923664122137404,0.9896108732079687,0.004878048780487805,0.9459386191084385,0.998145696828194,0.9868652337498802,1.0,0.0018543031718059975,0.054061380891561546,0.0,0.013134766250119828,0.9718090302502737,1.0,0.9745272827028676,0.9991368800308121,0.98046875,1.0,0.9716945638594524,1.0,0.98046875,1.0,0.9733859652161863,1.0,0.0,0.012195121951219513
LEXICOGRAPHIC_FIRST_PER_NEAR_CLONE_COMPONENT,COHORT,ZENODO_10369064,ZENODO_10369064,clarithromycin,44,20,24,18,23,1,2,0.45454545454545453,0.9,0.9583333333333334,0.1,0.041666666666666664,0.9291666666666667,0.8628390510808928,0.9473684210526315,0.92,0.9291666666666667,0.8980861244019138,0.06818181818181818,0.6830172859809177,0.9876514728297052,0.7887983165430269,0.9989456475545303,0.012348527170294808,0.31698271401908235,0.0010543524454697472,0.2112016834569731,0.7397193458047858,0.9986683711958205,0.7396941578947858,0.9901604099812025,0.8408799533799532,1.0,0.6895152876862637,1.0,0.8408799533799532,1.0,0.7614308768154922,1.0,0.0,0.1590909090909091
LEXICOGRAPHIC_FIRST_PER_NEAR_CLONE_COMPONENT,COHORT,ZENODO_10369064,ZENODO_10369064,levofloxacin,39,16,23,14,22,1,2,0.41025641025641024,0.875,0.9565217391304348,0.125,0.043478260869565216,0.9157608695652174,0.8407101035796285,0.9333333333333333,0.9166666666666666,0.9157608695652174,0.867948717948718,0.07692307692307693,0.6165237631507364,0.9844863961845861,0.7805133925465195,0.9988998313695585,0.015513603815413885,0.38347623684926346,0.0011001686304414997,0.2194866074534804,0.6805154334216966,0.9983135697586473,0.7300271984423964,0.9897436587187498,0.809776138716356,1.0,0.638306902323129,1.0,0.809776138716356,1.0,0.689375,1.0,0.0,0.1794871794871795
