dataset_id,lineage_recomputed,metric,successes,total,estimate,ci_low,ci_high
ZENODO_10369064,SNP_CLUSTER_01,marker_positive_resistance,1,1,1.0,0.025,1.0
ZENODO_10369064,SNP_CLUSTER_03,sensitivity,13,15,0.8666666666666667,0.5953973033966278,0.9834240865599164
ZENODO_10369064,SNP_CLUSTER_03,specificity,21,22,0.9545454545454546,0.7715556023323665,0.9988498524734264
ZENODO_10369064,SNP_CLUSTER_03,false_susceptible_rate,2,15,0.13333333333333333,0.016575913440083623,0.40460269660337206
ZENODO_10369064,SNP_CLUSTER_03,marker_negative_resistance,2,23,0.08695652173913043,0.010709966037875886,0.2803793359094109
ZENODO_10369064,SNP_CLUSTER_03,marker_positive_resistance,13,14,0.9285714285714286,0.6613155100681788,0.9981932193408746
CHINA_NINGXIA_2022,ALL,sensitivity,12,28,0.42857142857142855,0.2446239363021466,0.628206371387904
CHINA_NINGXIA_2022,ALL,specificity,22,29,0.7586206896551724,0.5645996540114667,0.8970164492273827
CHINA_NINGXIA_2022,ALL,false_susceptible_rate,16,28,0.5714285714285714,0.37179362861209586,0.7553760636978534
CHINA_NINGXIA_2022,ALL,marker_negative_resistance,16,38,0.42105263157894735,0.2630982372514843,0.5917855458800947
CHINA_NINGXIA_2022,ALL,marker_positive_resistance,12,19,0.631578947368421,0.3835779233144053,0.8371141278449004
HPGP_GLOBAL,ALL,sensitivity,131,133,0.9849624060150376,0.9467356013821775,0.9981736611688586
HPGP_GLOBAL,ALL,specificity,281,281,1.0,0.9869581073370893,1.0
HPGP_GLOBAL,ALL,false_susceptible_rate,2,133,0.015037593984962405,0.0018263388311413895,0.05326439861782253
HPGP_GLOBAL,ALL,marker_negative_resistance,2,283,0.007067137809187279,0.0008570119837556916,0.025294359907013553
HPGP_GLOBAL,ALL,marker_positive_resistance,131,131,1.0,0.9722333948899635,1.0
ZENODO_10369064,ALL,sensitivity,14,16,0.875,0.6165237631507365,0.9844863961845861
ZENODO_10369064,ALL,specificity,22,23,0.9565217391304348,0.7805133925465195,0.9988998313695585
ZENODO_10369064,ALL,false_susceptible_rate,2,16,0.125,0.01551360381541388,0.3834762368492636
ZENODO_10369064,ALL,marker_negative_resistance,2,24,0.08333333333333333,0.010256341281250147,0.2699728015576036
ZENODO_10369064,ALL,marker_positive_resistance,14,15,0.9333333333333333,0.6805154334216966,0.9983135697586473
