dataset_id,isolate_id,biosample,run_id,assembly_id,file_role,source_url,local_path,bytes,sha256,downloaded_at,sequence_support,verified,notes
HPGP_GLOBAL,ALG-001,,,GCA_034693425.1,assembly smoke FASTA,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/693/425/GCA_034693425.1_ASM3469342v1/GCA_034693425.1_ASM3469342v1_genomic.fna.gz,data/raw/smoke/HPGP_ALG001.fna.gz,470995,3bbe22e97163de48e0c711027e39f377153ec99036a8a78e6ab2e448a9c170bf,2026-08-30,assembly,yes,Representative Phase 0 subset only
HPGP_GLOBAL,FRA-001,,,GCA_035186245.1,assembly smoke FASTA,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/186/245/GCA_035186245.1_ASM3518624v1/GCA_035186245.1_ASM3518624v1_genomic.fna.gz,data/raw/smoke/HPGP_FRA001.fna.gz,497441,1ce0b5fcc3314f7e8e66838fee33a6c75c80f41844fa652622e645592c1eab69,2026-08-30,assembly,yes,Representative Phase 0 subset only
HPGP_GLOBAL,JAP-101,,,GCA_035155765.1,assembly smoke FASTA,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/155/765/GCA_035155765.1_ASM3515576v1/GCA_035155765.1_ASM3515576v1_genomic.fna.gz,data/raw/smoke/HPGP_JAP101.fna.gz,454162,93a4be584c707d56e596241b056ae8c33728ca35d16c938cfebb153c9b8fc123,2026-08-30,assembly,yes,Representative Phase 0 subset only
CHINA_NINGXIA_2022,SHZY01,,,GCA_021063165.1,assembly smoke FASTA,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/063/165/GCA_021063165.1_ASM2106316v1/GCA_021063165.1_ASM2106316v1_genomic.fna.gz,data/raw/smoke/CHINA_SHZY01.fna.gz,450351,140c856c1b94100465c53e94686e7c3bda92cd85998e4f09ef01fc8eb1d31c8d,2026-08-30,assembly,yes,23S target uncallable from fragmented assembly in smoke test
CHINA_NINGXIA_2022,SHZY02,,,GCA_021063185.1,assembly smoke FASTA,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/063/185/GCA_021063185.1_ASM2106318v1/GCA_021063185.1_ASM2106318v1_genomic.fna.gz,data/raw/smoke/CHINA_SHZY02.fna.gz,455085,b54539ec76ed890f4c250928c2666efb7056966b9f72eb20a63dab6faa7625db,2026-08-30,assembly,yes,23S target uncallable from fragmented assembly in smoke test
CHINA_NINGXIA_2022,SHZY03,,,GCA_021063205.1,assembly smoke FASTA,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/063/205/GCA_021063205.1_ASM2106320v1/GCA_021063205.1_ASM2106320v1_genomic.fna.gz,data/raw/smoke/CHINA_SHZY03.fna.gz,462566,b7fe6df93745707d075254d7fd624bced8b0b40b69cf0e81ac3c7006a54e9978,2026-08-30,assembly,yes,Representative Phase 0 subset only
LINQU_2025,HP001,,,HP001,assembly archive,https://zenodo.org/api/records/14560813/files/LinquHP_FastaSeq.zip/content,data/raw/smoke/LinquHP_FastaSeq.zip,72965349,b3570d83d1a8c887259d6a790a97fa707490d78cbc4ec91e56495e23584dd99e,2026-08-30,assemblies,yes,"Archive contains 153 assemblies; HP001 HP052 and Hp153 extracted for smoke tests"
ZENODO_10369064,S27,,,S27,paired-read archive,https://zenodo.org/api/records/10369064/files/S27.zip/content,data/raw/smoke/ZENODO_S27.zip,16871462,77762b9ca9a208219cef4c31fa2cdeeefad8555fb3ae383b8ed57cfc927cb12c,2026-08-30,raw paired reads,yes,"137016 reads audited; 59.11% primary mapping to 26695; all seven target reference loci had coverage"
REFERENCE,26695,,,GCF_000008525.1,reference genome package,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000008525.1/download,data/raw/reference/GCF_000008525.1.zip,1846070,63fa5323e924caef0ce6730fd67712b26d22700d95e421d6cacd170c59d1ac7a,2026-08-30,reference genome and annotation,yes,NC_000915.1 coordinate reference
REFERENCE,U27270.1,,,U27270.1,23S reference GenBank,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=U27270.1&rettype=gb&retmode=text,data/raw/reference/U27270.1.gb,6393,7fa5790d8e2b9fa9c95f29186e3d3ce25d287c39b645e0803da42e8a1f2b7145,2026-08-30,23S numbering audit,yes,Common labels A2142/A2143 map to U27270 feature positions 2143/2144
