assembly_a,cohort_a,assembly_b,cohort_b,mash_distance,mash_p_value,mash_shared_hashes,skani_ani_percent,skani_align_fraction_a,skani_align_fraction_b,near_clone_phase0
HPGP_JAP101.fna,HPGP_GLOBAL,HP001.fa,LINQU_2025,0.025484,0,414/1000,97.02,0.9327,0.9337000000000001,no
HPGP_JAP101.fna,HPGP_GLOBAL,HP052.fa,LINQU_2025,0.0239829,0,433/1000,97.12,0.9448000000000001,0.9353,no
HPGP_JAP101.fna,HPGP_GLOBAL,Hp153.fa,LINQU_2025,0.0242917,0,429/1000,97.12,0.955,0.9051,no
CHINA_SHZY01.fna,CHINA_NINGXIA_2022,CHINA_SHZY02.fna,CHINA_NINGXIA_2022,0.0254028,0,415/1000,97.04,0.9335,0.9244,no
CHINA_SHZY01.fna,CHINA_NINGXIA_2022,CHINA_SHZY03.fna,CHINA_NINGXIA_2022,0.0249208,0,421/1000,97.05,0.9542,0.9308,no
CHINA_SHZY01.fna,CHINA_NINGXIA_2022,HP001.fa,LINQU_2025,0.0253218,0,416/1000,97.21,0.9495,0.9381,no
CHINA_SHZY01.fna,CHINA_NINGXIA_2022,HP052.fa,LINQU_2025,0.0239063,0,434/1000,97.17,0.9584,0.9364,no
CHINA_SHZY01.fna,CHINA_NINGXIA_2022,Hp153.fa,LINQU_2025,0.0234513,0,440/1000,97.3,0.9570000000000001,0.8951,no
CHINA_SHZY02.fna,CHINA_NINGXIA_2022,CHINA_SHZY03.fna,CHINA_NINGXIA_2022,0.0245258,0,426/1000,97.17,0.9328,0.9188,no
CHINA_SHZY02.fna,CHINA_NINGXIA_2022,HP001.fa,LINQU_2025,0.0250005,0,420/1000,97.07,0.9301,0.9279999999999999,no
CHINA_SHZY02.fna,CHINA_NINGXIA_2022,HP052.fa,LINQU_2025,0.0244475,0,427/1000,97.04,0.9523999999999999,0.9397,no
CHINA_SHZY02.fna,CHINA_NINGXIA_2022,Hp153.fa,LINQU_2025,0.0242917,0,429/1000,96.75,0.9677,0.9140999999999999,no
CHINA_SHZY03.fna,CHINA_NINGXIA_2022,HP001.fa,LINQU_2025,0.0246831,0,424/1000,97.08,0.9394,0.9516,no
CHINA_SHZY03.fna,CHINA_NINGXIA_2022,HP052.fa,LINQU_2025,0.0232268,0,443/1000,96.9,0.9298000000000001,0.9312999999999999,no
CHINA_SHZY03.fna,CHINA_NINGXIA_2022,Hp153.fa,LINQU_2025,0.0240597,0,432/1000,97.04,0.9381,0.8996,no
HP001.fa,LINQU_2025,HP052.fa,LINQU_2025,0.0238299,0,435/1000,97.46,0.9632,0.9525,no
HP001.fa,LINQU_2025,Hp153.fa,LINQU_2025,0.0233762,0,441/1000,97.43,0.9634999999999999,0.9122,no
HP052.fa,LINQU_2025,Hp153.fa,LINQU_2025,0.0224204,0,454/1000,97.43,0.9718000000000001,0.9303,no
